field_bits,carrier_percent,state_flag_percent,state_guarded_percent,states_flag,states_guarded
8,0.003039836884,11.4920997,99999900,128,2
9,0.006091594696,5.567299423,9900,256,4
10,0.01219511032,2.7405019,619.685673,512,8
11,0.02440214157,1.359650094,151.1886432,1024,16
12,0.04881620407,0.6771977088,56.1523006,2048,32
13,0.09764432907,0.3379448556,24.51970847,4096,64
14,0.1953005791,0.1688092811,11.4920997,8192,128
15,0.3906130791,0.08436389789,5.567299423,16384,256
16,0.7812380791,0.04217176878,2.7405019,32768,512
17,1.562488079,0.02108334004,1.359650094,65536,1024
18,3.124988079,0.01054103402,0.6771977088,131072,2048
19,6.249988079,0.005270358018,0.3379448556,262144,4096
20,12.49998808,0.002635139263,0.1688092811,524288,8192
